Name,Goals,Assists,Minutes,Solo runs into attacking third,Solo runs into key area,Solo runs into penalty area,Deliveries into attacking third,Deliveries into a key area,Deliveries into penalty area,Total attempts,On target,Red cards,Yellow cards,Fouls committed,Tackles,Blocks
Antoine Griezmann,6,2,555,11,11,5,21,17,11,26,14,0,0,4,5,1
Cristiano Ronaldo,3,3,625,18,11,4,20,14,5,46,12,0,1,8,0,0
Olivier Giroud,3,2,456,3,0,3,8,6,2,15,6,0,1,6,0,0
Dimitri Payet,3,2,506,22,17,12,32,24,32,20,7,0,0,2,1,0
Gareth Bale,3,1,533,27,21,6,21,11,8,25,16,0,1,5,3,1
Nani,3,1,706,10,6,6,10,10,5,21,9,0,0,9,1,0
Álvaro Morata,3,0,289,5,5,1,5,6,1,13,7,0,0,12,0,0
Radja Nainggolan,2,1,365,6,4,0,18,10,3,9,3,0,0,6,1,1
Ivan Perišić,2,1,387,11,3,5,7,4,4,16,4,0,1,6,3,1
Jakub Błaszczykowski,2,1,445,7,2,3,9,8,7,7,3,0,0,5,5,2
Bogdan Stancu,2,0,264,3,2,0,3,6,0,6,4,0,0,2,1,1
Hal Robson-Kanu,2,0,269,3,2,1,0,1,2,4,3,0,0,4,0,0
Mario Gomez,2,0,271,2,1,4,2,0,3,10,5,0,0,5,0,1
Balázs Dzsudzsák,2,0,360,11,12,2,15,13,8,12,6,0,1,1,0,0
Graziano Pellè,2,0,360,6,5,1,8,8,3,11,4,0,2,13,0,1
Robbie Brady,2,0,360,9,7,1,19,8,11,7,2,0,0,3,1,0
Romelu Lukaku,2,0,402,5,4,4,7,9,2,11,5,0,0,6,0,0
Kolbeinn Sigthórsson,2,0,404,1,1,1,10,9,3,4,2,0,1,6,0,0
Birkir Bjarnason,2,0,450,8,5,2,3,1,3,4,2,0,2,11,2,1
Eden Hazard,1,4,441,35,34,8,32,47,11,12,3,0,0,1,0,0
Aaron Ramsey,1,4,448,12,12,5,17,8,12,12,5,0,2,7,3,1
Nikola Kalinić,1,1,122,1,1,0,2,2,2,3,2,0,0,3,1,0
Wes Hoolahan,1,1,181,5,6,2,11,7,7,2,2,0,0,3,0,2
Nolito,1,1,277,1,5,6,0,15,11,7,1,0,1,8,0,0
Vladimír Weiss,1,1,278,12,8,3,8,10,3,4,2,0,1,4,0,0
Ricardo Quaresma,1,1,286,8,9,6,6,2,8,6,3,0,1,2,1,0
Julian Draxler,1,1,359,10,11,6,8,10,8,10,2,0,1,8,1,0
Marek Hamšík,1,1,360,6,7,2,17,10,3,10,1,0,0,1,1,1
Jón Dadi Bödvarsson,1,1,364,3,1,2,5,4,2,6,2,0,0,4,0,1
Xherdan Shaqiri,1,1,377,13,8,6,21,10,17,10,4,0,0,9,1,0
Emanuele Giaccherini,1,1,390,4,3,5,10,9,5,5,2,0,1,6,1,2
Gylfi Sigurdsson,1,1,450,4,1,4,8,6,5,10,6,0,1,5,1,3
Leonardo Bonucci,1,1,480,2,1,0,16,5,4,1,1,0,1,5,3,0
Arkadiusz Milik,1,1,510,7,7,2,13,8,11,19,6,0,0,4,1,0
Mesut Özil,1,1,570,32,26,5,53,48,17,14,6,0,2,3,0,0
Éder,1,0,355,8,5,3,11,1,2,7,3,0,1,6,0,0
Milan Škoda,1,0,56,0,0,0,0,1,0,2,2,0,0,2,1,0
Alessandro Schöpf,1,0,83,2,2,1,8,2,1,5,3,0,1,3,0,0
Zoltán Stieber,1,0,83,2,0,2,3,2,2,1,1,0,0,3,1,0
Shkodran Mustafi,1,0,119,1,0,0,9,2,1,2,1,0,0,3,1,1
Denis Glushakov,1,0,145,1,2,0,9,5,0,4,1,0,0,6,0,0
Ondrej Duda,1,0,154,1,2,0,4,1,0,2,1,0,0,2,2,0
Jamie Vardy,1,0,165,0,0,0,0,3,0,4,2,0,0,5,1,0
Tomáš Necid,1,0,169,4,3,1,2,0,0,4,3,0,0,4,0,1
Sam Vokes,1,0,187,0,0,0,3,3,0,8,3,0,1,1,0,0
Burak Yılmaz,1,0,205,1,1,1,2,1,0,2,1,0,1,6,0,0
Daniel Sturridge,1,0,210,10,13,2,5,10,6,10,3,0,1,2,0,0
Yannick Carrasco,1,0,214,9,7,5,3,6,4,2,2,0,0,1,0,0
Bastian Schweinsteiger,1,0,219,7,5,0,19,12,0,3,2,0,2,6,1,2
Vasili Berezutski,1,0,225,4,1,0,14,11,2,2,1,0,0,1,0,1
Armando Sadiku,1,0,231,4,6,0,3,1,0,5,2,0,0,5,0,1
Ádám Szalai,1,0,236,4,6,0,1,3,1,9,4,0,1,6,0,3
Zoltán Gera,1,0,270,3,1,1,17,7,0,4,2,0,1,4,2,1
Ozan Tufan,1,0,270,4,3,0,6,2,1,3,2,0,1,4,1,0
Luka Modrić,1,0,272,14,10,0,19,6,2,2,1,0,0,1,2,0
Wayne Rooney,1,0,290,10,7,1,35,19,9,11,4,0,0,2,0,0
Admir Mehmedi,1,0,307,11,6,3,12,9,6,6,2,0,0,2,0,0
Eric Dier,1,0,315,5,4,0,46,29,4,9,2,0,0,1,4,0
Gareth McAuley,1,0,354,0,0,0,6,1,1,3,2,0,0,4,1,5
Gerard Piqué,1,0,360,7,7,0,28,14,2,7,4,0,0,1,2,2
Ivan Rakitić,1,0,380,18,12,3,10,9,10,9,2,0,0,7,1,0
Fabian Schär,1,0,390,4,3,0,23,10,4,7,3,0,2,3,2,7
Giorgio Chiellini,1,0,391,2,1,0,16,7,0,1,1,0,1,4,3,5
Renato Sanches,1,0,407,21,12,4,24,12,3,5,1,0,0,11,0,0
Ragnar Sigurdsson,1,0,450,0,0,0,10,7,0,2,2,0,0,1,7,3
Toby Alderweireld,1,0,450,0,0,0,18,3,2,6,2,0,1,2,2,3
Axel Witsel,1,0,450,14,12,0,30,12,4,10,3,0,1,3,1,2
Jérôme Boateng,1,0,509,8,9,1,83,10,6,4,1,0,1,3,1,6
Robert Lewandowski,1,0,510,9,5,3,16,8,3,12,6,0,0,6,0,1
